Station,Longitude,Latitude
Paya Lebar,103.90373333,1.35713333
Macritchie Reservoir,103.8339,1.3418
Lower Peirce Reservoir,103.82706667,1.37003333
Jurong (North),103.7134,1.35053333
Semakau Island,103.76571667,1.19016667
Admiralty,103.78538333,1.44386667
Admiralty West,103.79525,1.45816667
Pulau Ubin,103.9673,1.4168
East Coast Parkway,103.96198333,1.31331667
Marina Barrage,103.8703,1.27991667
Ang Mo Kio,103.85001667,1.37926667
Choa Chu Kang (West),103.69373333,1.37425
Serangoon North,103.87076667,1.36531667
Newton,103.8365,1.31055
Lim Chu Kang,103.70173333,1.4388
Marine Parade,103.91121667,1.30501667
Choa Chu Kang (Central),103.7381,1.38208333
Tuas South,103.6184,1.2938
Pasir Panjang,103.7545,1.28235
Jurong Island,103.679,1.256
Dhoby Ghaut,103.84606667,1.2994
Nicoll Highway,103.86218333,1.29503333
Botanic Garden,103.81801667,1.30871667
Choa Chu Kang (South),103.7114,1.3858
Khatib,103.82513333,1.41725
Whampoa,103.85765,1.32141667
Tengah,103.71166667,1.385
Changi,103.98226667,1.36776667
Seletar,103.865,1.41666667
Pasir Ris (West),103.94133333,1.3865
Kampong Bahru,103.82816667,1.27431667
Jurong Pier,103.70986667,1.30818333
Ulu Pandan,103.75498333,1.33246667
Serangoon,103.86615,1.33765
Jurong (East),103.73675,1.32516667
Mandai,103.7832,1.40665
Tai Seng,103.88816667,1.34061667
Jurong (West),103.68333333,1.34523333
Upper Thomson,103.81078333,1.34155
Clementi,103.77611667,1.33178333
Buangkok,103.88603333,1.38358333
Sentosa Island,103.82753333,1.2504
Chai Chee,103.92065,1.3271
Boon Lay (West),103.70416667,1.32746667
Bukit Panjang,103.76066667,1.38228333
Kranji Reservoir,103.73601667,1.43866667
Upper Peirce Reservoir,103.80463333,1.37035
Kent Ridge,103.7815,1.2923
Tanjong Pagar,103.84823333,1.27388333
Queenstown,103.81268333,1.2936
Tanjong Katong,103.89066667,1.30703333
Somerset (Road),103.8372,1.3004
Sembawang,103.82,1.425
Punggol,103.90948333,1.40285
Tuas West,103.6352,1.3248
Simei,103.94405,1.34428333
Boon Lay (East),103.72046667,1.32686667
Toa Payoh,103.8515,1.34171667
Tuas,103.66131667,1.31985
Bukit Timah,103.81928333,1.3191
Yishun,103.83061667,1.42993333
Buona Vista,103.78875,1.28408333
Pasir Ris (Central),103.94898333,1.36793333
